RA,ANO,FASE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPV,IAN,DEFASAGEM,GENERO,IDADE,ANO_INGRESSO,PONTO_VIRADA,IPP
RA-100,2022,4,AMETISTA,7.618,8.8,7.8,5.0,7.6,7.25,10.0,1,Feminino,13,2019,Não,7.65625
RA-101,2022,4,AMETISTA,7.305,7.9,8.3,7.5,7.6,6.833,5.0,-1,Feminino,15,2021,Não,7.625
RA-102,2022,4,AGATA,6.922,6.7,7.7,6.9,5.7,6.0,10.0,0,Masculino,14,2019,Não,7.1875
RA-103,2022,4,TOPAZIO,8.107,7.9,8.7,7.5,7.3,7.708,10.0,1,Feminino,13,2020,Não,7.541666666599999
RA-104,2022,4,AGATA,6.315,7.9,8.7,7.5,3.7,6.708,2.5,-4,Masculino,18,2022,Não,7.416666666599999
RA-105,2022,4,AGATA,6.846,7.9,8.2,5.6,6.7,7.417,2.5,-3,Masculino,17,2016,Não,7.53125
RA-106,2022,4,AMETISTA,7.973,9.2,8.0,9.4,7.4,8.375,5.0,-1,Feminino,15,2016,Sim,8.047916666599999
RA-107,2022,4,AGATA,6.258,7.5,6.4,7.5,4.6,6.5,5.0,-1,Feminino,15,2018,Não,7.1625
RA-108,2022,4,QUARTZO,5.547,4.6,7.7,5.0,5.0,6.125,2.5,-3,Feminino,17,2019,Não,7.5
RA-109,2022,4,TOPAZIO,8.512,8.8,10.0,8.8,8.4,8.667,5.0,-2,Masculino,16,2021,Sim,8.5625
RA-110,2022,4,TOPAZIO,8.15,9.2,9.7,5.6,6.7,8.0,10.0,0,Masculino,14,2017,Não,6.96875
RA-111,2022,4,TOPAZIO,8.646,7.5,9.4,8.1,8.0,8.667,10.0,1,Feminino,13,2020,Sim,8.24375
RA-112,2022,4,AMETISTA,7.836,7.9,7.8,6.3,8.5,8.833,5.0,-1,Feminino,15,2016,Sim,8.5020833334
RA-113,2022,4,QUARTZO,3.032,0.0,0.0,5.0,3.7,3.792,5.0,-1,Feminino,15,2017,Não,6.40625
RA-114,2022,4,QUARTZO,5.894,7.9,6.3,7.5,5.3,5.0,5.0,-2,Masculino,16,2022,Não,7.15625
RA-115,2022,4,QUARTZO,5.886,8.3,6.8,6.3,3.8,5.583,5.0,-2,Feminino,16,2019,Não,6.677083333400001
RA-116,2022,4,AGATA,6.854,5.8,8.1,6.3,5.9,7.792,5.0,-2,Feminino,16,2019,Não,7.3875
RA-117,2022,4,AGATA,6.685,7.9,6.3,6.9,6.1,7.417,5.0,-1,Feminino,15,2022,Não,7.135416666599999
RA-118,2022,4,QUARTZO,5.597,0.0,5.3,6.3,3.9,6.958,10.0,0,Feminino,14,2021,Não,7.197916666599999
RA-119,2022,4,AMETISTA,7.501,8.3,8.2,5.6,5.4,7.875,10.0,0,Feminino,14,2016,Não,7.2125
RA-120,2022,4,AGATA,6.825,8.3,5.9,7.5,6.2,7.667,5.0,-1,Masculino,15,2019,Não,7.0104166668
RA-121,2022,4,AMETISTA,7.245,7.1,8.4,6.3,7.2,7.625,5.0,-2,Feminino,16,2021,Não,8.03125
RA-122,2022,4,QUARTZO,5.061,7.9,3.4,7.5,1.8,4.958,10.0,0,Feminino,14,2019,Não,6.6604166666
